Material,Crystal Structure,Bending Strength (MPa),Bending Strain (%),zT,Heat Treatment Process,,,,,,,,
AgCuSe0.4S0.6,orthorhombic and amorphous mixed crystal structure,185,21.8,0.02,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.3S0.7,orthorhombic and amorphous mixed crystal structure,183,3,0.00024,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.2S0.8,orthorhombic and amorphous mixed crystal structure,167,4.2,0.00000026,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.1S0.9,multiphase crystal structure,207,4.7,0.00011,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.9Te0.1,orthorhombic crystal structure,,,0.26,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.82S0.08Te0.1,orthorhombic crystal structure,,,0.32,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.8S0.1Te0.1,orthorhombic crystal structure,,,0.23,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.7S0.2Te0.1,orthorhombic crystal structure,,,0.21,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.67S0.23Te0.1,orthorhombic crystal structure,396,5,0.11,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.65S0.25Te0.1,orthorhombic crystal structure,420,6.3,0.1,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.63S0.27Te0.1,orthorhombic crystal structure,362,16.2,0.1,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.6S0.3Te0.1,orthorhombic and amorphous mixed crystal structure,261,17.2,0.03,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.5S0.4Te0.1,orthorhombic and amorphous mixed crystal structure,366,5,0.03,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.4S0.5Te0.1,orthorhombic and amorphous mixed crystal structure,233,1.4,0.02,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.3S0.6Te0.1,orthorhombic and amorphous mixed crystal structure,266,1.4,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.2S0.7Te0.1,multiphase crystal structure,238,1.5,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.1S0.8Te0.1,multiphase crystal structure,279,2.3,0.0015,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuS0.9Te0.1,multiphase crystal structure,66,0.5,0.00064,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.72S0.08Te0.2,orthorhombic crystal structure,,,0.23,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.7Te0.3,orthorhombic crystal structure,,,0.26,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.62S0.08Te0.3,orthorhombic crystal structure,445,3.1,0.23,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.6S0.1Te0.3,orthorhombic and amorphous mixed crystal structure,268,3.2,0.06,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.5S0.2Te0.3,orthorhombic and amorphous mixed crystal structure,356,16.4,0.03,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.4S0.3Te0.3,multiphase crystal structure,348,1.9,0.02,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.3S0.4Te0.3,multiphase crystal structure,200,1.1,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.2S0.5Te0.3,multiphase crystal structure,229,1.5,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.1S0.6Te0.3,multiphase crystal structure,239,1.5,0.03,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuS0.7Te0.3,multiphase crystal structure,251,1.8,0.04,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.52S0.08Te0.4,orthorhombic crystal structure,373,13.2,0.0069,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.5Te0.5,orthorhombic crystal structure,77,1.7,0.0067,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.45S0.05Te0.5,orthorhombic crystal structure,345,9.8,0.02,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.42S0.08Te0.5,orthorhombic crystal structure,351,10.7,0.0074,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.4S0.1Te0.5,orthorhombic crystal structure,344,15.4,0.03,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.3S0.2Te0.5,multiphase crystal structure,200,1.7,0.06,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.2S0.3Te0.5,multiphase crystal structure,108,1.1,0.09,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.1S0.4Te0.5,multiphase crystal structure,99,0.6,0.09,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuS0.5Te0.5,multiphase crystal structure,33,0.3,0.04,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.32S0.08Te0.6,orthorhombic crystal structure,287,13.5,0.28,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.3Te0.7,orthorhombic crystal structure,164,2.7,0.33,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.26S0.04Te0.7,orthorhombic crystal structure,226,3.3,0.34,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.25S0.05Te0.7,orthorhombic crystal structure,263,13.6,0.29,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.24S0.06Te0.7,orthorhombic crystal structure,287,13.5,0.28,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.22S0.08Te0.7,orthorhombic crystal structure,225,18.4,0.31,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.22S0.08Te0.7,orthorhombic crystal structure,270,20,0.32,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.998Cu0.998Se0.22S0.08Te0.7,orthorhombic crystal structure,295,16.5,0.45,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.997Cu0.997Se0.22S0.08Te0.7,orthorhombic crystal structure,194,2.5,0.46,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.995Cu0.995Se0.22S0.08Te0.7,orthorhombic crystal structure,219,1.9,0.46,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.999CuSe0.22S0.08Te0.7,orthorhombic crystal structure,268,13.8,0.31,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.997CuSe0.22S0.08Te0.7,orthorhombic crystal structure,284,12.1,0.41,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.995CuSe0.22S0.08Te0.7,orthorhombic crystal structure,230,14.8,0.48,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
